Date,Open,High,Low,Close,Volume,Adj Close
7/11/2014 12:00:00 AM,95.36,95.89,94.86,95.22,33988800,95.22
7/10/2014 12:00:00 AM,93.76,95.55,93.52,95.04,39662200,95.04
7/9/2014 12:00:00 AM,95.44,95.95,94.76,95.39,36290200,95.39
7/8/2014 12:00:00 AM,96.27,96.80,93.92,95.35,65130000,95.35
7/7/2014 12:00:00 AM,94.14,95.99,94.10,95.97,56305400,95.97
7/3/2014 12:00:00 AM,93.67,94.10,93.20,94.03,22891800,94.03
7/2/2014 12:00:00 AM,93.87,94.06,93.09,93.48,28420900,93.48
7/1/2014 12:00:00 AM,93.52,94.07,93.13,93.52,38170200,93.52
6/30/2014 12:00:00 AM,92.10,93.73,92.09,92.93,49482300,92.93
6/27/2014 12:00:00 AM,90.82,92.00,90.77,91.98,64006800,91.98
6/26/2014 12:00:00 AM,90.37,91.05,89.80,90.90,32595800,90.90
6/25/2014 12:00:00 AM,90.21,90.70,89.65,90.36,36852200,90.36
6/24/2014 12:00:00 AM,90.75,91.74,90.19,90.28,38988300,90.28
6/23/2014 12:00:00 AM,91.32,91.62,90.60,90.83,43618200,90.83
6/20/2014 12:00:00 AM,91.85,92.55,90.90,90.91,100813200,90.91
6/19/2014 12:00:00 AM,92.29,92.30,91.34,91.86,35486400,91.86
6/18/2014 12:00:00 AM,92.27,92.29,91.35,92.18,33493800,92.18
6/17/2014 12:00:00 AM,92.31,92.70,91.80,92.08,29689800,92.08
6/16/2014 12:00:00 AM,91.51,92.75,91.45,92.20,35561000,92.20
6/13/2014 12:00:00 AM,92.20,92.44,90.88,91.28,54525000,91.28
6/12/2014 12:00:00 AM,94.04,94.12,91.90,92.29,54749000,92.29
6/11/2014 12:00:00 AM,94.13,94.76,93.47,93.86,45681000,93.86
6/10/2014 12:00:00 AM,94.73,95.05,93.57,94.25,62777000,94.25
6/9/2014 12:00:00 AM,92.70,93.88,91.75,93.70,75415000,93.70
6/6/2014 12:00:00 AM,649.90,651.26,644.47,645.57,87484600,92.22
6/5/2014 12:00:00 AM,646.20,649.37,642.61,647.35,75951400,92.48
6/4/2014 12:00:00 AM,637.44,647.89,636.11,644.82,83870500,92.12
6/3/2014 12:00:00 AM,628.46,638.74,628.25,637.54,73177300,91.08
6/2/2014 12:00:00 AM,633.96,634.83,622.50,628.65,92337700,89.81
5/30/2014 12:00:00 AM,637.98,644.17,628.90,633.00,141005200,90.43
5/29/2014 12:00:00 AM,627.85,636.87,627.77,635.38,94118500,90.77
5/28/2014 12:00:00 AM,626.02,629.83,623.78,624.01,78870400,89.14
5/27/2014 12:00:00 AM,615.88,625.86,615.63,625.63,87216500,89.38
5/23/2014 12:00:00 AM,607.25,614.73,606.47,614.13,58052400,87.73
5/22/2014 12:00:00 AM,606.60,609.85,604.10,607.27,50190000,86.75
5/21/2014 12:00:00 AM,603.83,606.70,602.06,606.31,49214900,86.62
5/20/2014 12:00:00 AM,604.51,606.40,600.73,604.71,58709000,86.39
5/19/2014 12:00:00 AM,597.85,607.33,597.33,604.59,79438800,86.37
5/16/2014 12:00:00 AM,588.63,597.53,585.40,597.51,69064100,85.36
5/15/2014 12:00:00 AM,594.70,596.60,588.04,588.82,57711500,84.12
5/14/2014 12:00:00 AM,592.43,597.40,591.74,593.87,41601000,84.84
5/13/2014 12:00:00 AM,592.00,594.54,590.70,593.76,39934300,84.82
5/12/2014 12:00:00 AM,587.49,593.66,587.40,592.83,53302200,84.69
5/9/2014 12:00:00 AM,584.54,586.25,580.33,585.54,72899400,83.65
5/8/2014 12:00:00 AM,588.25,594.41,586.40,587.99,57574300,84.00
5/7/2014 12:00:00 AM,595.25,597.29,587.73,592.33,70716100,84.15
5/6/2014 12:00:00 AM,601.80,604.41,594.41,594.41,93641100,84.44
5/5/2014 12:00:00 AM,590.14,601.00,590.00,600.96,71766800,85.37
5/2/2014 12:00:00 AM,592.34,594.20,589.71,592.58,47878600,84.18
5/1/2014 12:00:00 AM,592.00,594.80,586.36,591.48,61012000,84.03
4/30/2014 12:00:00 AM,592.64,599.43,589.80,590.09,114160200,83.83
4/29/2014 12:00:00 AM,593.74,595.98,589.51,592.33,84344400,84.15
4/28/2014 12:00:00 AM,572.80,595.75,572.55,594.09,167371400,84.40
4/25/2014 12:00:00 AM,564.53,571.99,563.96,571.94,97568800,81.25
4/24/2014 12:00:00 AM,568.21,570.00,560.73,567.77,189977900,80.66
4/23/2014 12:00:00 AM,529.06,531.13,524.45,524.75,98735000,74.55
4/22/2014 12:00:00 AM,528.31,531.83,526.50,531.70,50640800,75.54
4/21/2014 12:00:00 AM,525.34,532.14,523.96,531.17,45637200,75.46
4/17/2014 12:00:00 AM,520.00,527.76,519.20,524.94,71083600,74.57
4/16/2014 12:00:00 AM,518.05,521.09,514.14,519.01,53691400,73.73
4/15/2014 12:00:00 AM,520.27,521.64,511.33,517.96,66622500,73.58
4/14/2014 12:00:00 AM,521.90,522.16,517.21,521.68,51418500,74.11
4/11/2014 12:00:00 AM,519.00,522.83,517.14,519.61,67929400,73.82
4/10/2014 12:00:00 AM,530.68,532.24,523.17,523.48,59913000,74.37
4/9/2014 12:00:00 AM,522.64,530.49,522.02,530.32,51542400,75.34
4/8/2014 12:00:00 AM,525.19,526.12,518.70,523.44,60972100,74.36
4/7/2014 12:00:00 AM,528.02,530.90,521.89,523.47,72462600,74.37
4/4/2014 12:00:00 AM,539.81,540.00,530.58,531.82,68812800,75.55
4/3/2014 12:00:00 AM,541.39,542.50,537.64,538.79,40586000,76.54
4/2/2014 12:00:00 AM,542.38,543.48,540.26,542.55,45105200,77.08
4/1/2014 12:00:00 AM,537.76,541.87,536.77,541.65,50190000,76.95
3/31/2014 12:00:00 AM,539.23,540.81,535.93,536.74,42167300,76.25
3/28/2014 12:00:00 AM,538.32,538.94,534.25,536.86,50141000,76.27
3/27/2014 12:00:00 AM,540.02,541.50,535.12,537.46,55507900,76.35
3/26/2014 12:00:00 AM,546.52,549.00,538.86,539.78,74942000,76.68
3/25/2014 12:00:00 AM,541.50,545.75,539.59,544.99,70573300,77.42
3/24/2014 12:00:00 AM,538.42,540.50,535.06,539.19,88925200,76.60
3/21/2014 12:00:00 AM,531.93,533.75,526.33,532.87,93511600,75.70
3/20/2014 12:00:00 AM,529.89,532.67,527.35,528.70,52099600,75.11
3/19/2014 12:00:00 AM,532.26,536.24,529.00,531.26,56189000,75.47
3/18/2014 12:00:00 AM,525.90,531.97,525.20,531.40,52411800,75.49
3/17/2014 12:00:00 AM,527.70,529.97,525.85,526.74,49886200,74.83
3/14/2014 12:00:00 AM,528.79,530.89,523.00,524.69,59299800,74.54
3/13/2014 12:00:00 AM,537.44,539.66,529.16,530.65,64435700,75.39
3/12/2014 12:00:00 AM,534.51,537.35,532.00,536.61,49831600,76.23
3/11/2014 12:00:00 AM,535.45,538.74,532.59,536.09,69806100,76.16
3/10/2014 12:00:00 AM,528.36,533.33,528.34,530.92,44646000,75.42
3/7/2014 12:00:00 AM,531.09,531.98,526.05,530.44,55182400,75.36
3/6/2014 12:00:00 AM,532.79,534.44,528.10,530.75,46372200,75.40
3/5/2014 12:00:00 AM,530.92,534.75,529.13,532.36,50015700,75.63
3/4/2014 12:00:00 AM,531.00,532.64,527.77,531.24,64785000,75.47
3/3/2014 12:00:00 AM,523.42,530.65,522.81,527.76,59695300,74.98
2/28/2014 12:00:00 AM,529.08,532.75,522.12,526.24,92992200,74.76
2/27/2014 12:00:00 AM,517.14,528.78,516.05,527.67,75470500,74.96
2/26/2014 12:00:00 AM,523.61,525.00,515.60,517.35,69054300,73.50
2/25/2014 12:00:00 AM,529.38,529.57,521.00,522.06,57988000,74.17
2/24/2014 12:00:00 AM,523.15,529.92,522.42,527.55,72227400,74.95
2/21/2014 12:00:00 AM,532.79,534.57,524.60,525.25,69696200,74.62
2/20/2014 12:00:00 AM,532.99,537.00,529.00,531.15,76464500,75.46
2/19/2014 12:00:00 AM,544.75,546.89,534.35,537.37,78442000,76.34
2/18/2014 12:00:00 AM,546.00,551.19,545.61,545.99,65062900,77.57
2/14/2014 12:00:00 AM,542.47,545.98,541.21,543.99,68231100,77.28
2/13/2014 12:00:00 AM,534.66,544.85,534.20,544.43,76849500,77.34
2/12/2014 12:00:00 AM,536.95,539.56,533.24,535.92,77025200,76.13
2/11/2014 12:00:00 AM,530.61,537.75,529.50,535.96,70564200,76.14
2/10/2014 12:00:00 AM,518.66,531.99,518.00,528.99,86389800,75.15
2/7/2014 12:00:00 AM,521.38,522.93,517.38,519.68,92570100,73.83
2/6/2014 12:00:00 AM,510.06,513.50,507.81,512.51,64441300,72.81
2/5/2014 12:00:00 AM,506.56,515.28,506.25,512.59,82086200,72.39
2/4/2014 12:00:00 AM,505.85,509.46,502.76,508.79,94170300,71.85
2/3/2014 12:00:00 AM,502.61,507.73,499.30,501.53,100366000,70.83
1/31/2014 12:00:00 AM,495.18,501.53,493.55,500.60,116199300,70.69
1/30/2014 12:00:00 AM,502.54,506.50,496.70,499.78,169625400,70.58
1/29/2014 12:00:00 AM,503.95,507.37,498.62,500.75,125702500,70.72
1/28/2014 12:00:00 AM,508.76,515.00,502.07,506.50,266380800,71.53
1/27/2014 12:00:00 AM,550.07,554.80,545.75,550.50,138719700,77.74
1/24/2014 12:00:00 AM,554.00,555.62,544.75,546.07,107338700,77.12
1/23/2014 12:00:00 AM,549.94,556.50,544.81,556.18,100809800,78.54
1/22/2014 12:00:00 AM,550.91,557.29,547.81,551.51,94996300,77.88
1/21/2014 12:00:00 AM,540.99,550.07,540.42,549.07,82131700,77.54
1/17/2014 12:00:00 AM,551.48,552.07,539.90,540.67,106684900,76.35
1/16/2014 12:00:00 AM,554.90,556.85,551.68,554.25,57319500,78.27
1/15/2014 12:00:00 AM,553.52,560.20,551.66,557.36,97909700,78.71
1/14/2014 12:00:00 AM,538.22,546.73,537.66,546.39,83140400,77.16
1/13/2014 12:00:00 AM,529.91,542.50,529.88,535.73,94623200,75.65
1/10/2014 12:00:00 AM,539.83,540.80,531.11,532.94,76244000,75.26
1/9/2014 12:00:00 AM,546.80,546.86,535.35,536.52,69787200,75.77
1/8/2014 12:00:00 AM,538.81,545.56,538.69,543.46,64632400,76.75
1/7/2014 12:00:00 AM,544.32,545.96,537.92,540.04,79302300,76.26
1/6/2014 12:00:00 AM,537.45,546.80,533.60,543.93,103152700,76.81
1/3/2014 12:00:00 AM,552.86,553.70,540.43,540.98,98116900,76.40
1/2/2014 12:00:00 AM,555.68,557.03,552.02,553.13,58671200,78.11
12/31/2013 12:00:00 AM,554.17,561.28,554.00,561.02,55771100,79.23
12/30/2013 12:00:00 AM,557.46,560.09,552.32,554.52,63407400,78.31
12/27/2013 12:00:00 AM,563.82,564.41,559.50,560.09,56471100,79.10
12/26/2013 12:00:00 AM,568.10,569.50,563.38,563.90,51002000,79.63
12/24/2013 12:00:00 AM,569.89,571.88,566.03,567.67,41888700,80.17
12/23/2013 12:00:00 AM,568.00,570.72,562.76,570.09,125326600,80.51
12/20/2013 12:00:00 AM,545.43,551.61,544.82,549.02,109103400,77.53
12/19/2013 12:00:00 AM,549.50,550.00,543.73,544.46,80077200,76.89
12/18/2013 12:00:00 AM,549.70,551.45,538.80,550.77,141465800,77.78
12/17/2013 12:00:00 AM,555.81,559.44,553.38,554.99,57475600,78.37
12/16/2013 12:00:00 AM,555.02,562.64,555.01,557.50,70648200,78.73
12/13/2013 12:00:00 AM,562.85,562.88,553.67,554.43,83205500,78.30
12/12/2013 12:00:00 AM,562.14,565.34,560.03,560.54,65572500,79.16
12/11/2013 12:00:00 AM,567.00,570.97,559.69,561.36,89929700,79.27
12/10/2013 12:00:00 AM,563.58,567.88,561.20,565.55,69567400,79.87
12/9/2013 12:00:00 AM,560.90,569.58,560.90,566.43,80123400,79.99
12/6/2013 12:00:00 AM,565.79,566.75,559.57,560.02,86088100,79.09
12/5/2013 12:00:00 AM,572.65,575.14,566.41,567.90,111895000,80.20
12/4/2013 12:00:00 AM,565.50,569.19,560.82,565.00,94452400,79.79
12/3/2013 12:00:00 AM,558.30,566.38,557.68,566.32,112742000,79.97
12/2/2013 12:00:00 AM,558.00,564.33,550.82,551.23,118136200,77.84
11/29/2013 12:00:00 AM,549.48,558.33,547.81,556.07,79531900,78.53
11/27/2013 12:00:00 AM,536.31,546.00,533.40,545.96,90862100,77.10
11/26/2013 12:00:00 AM,524.12,536.14,524.00,533.40,100345700,75.33
11/25/2013 12:00:00 AM,521.02,525.87,521.00,523.74,57327900,73.96
11/22/2013 12:00:00 AM,519.52,522.16,518.53,519.80,55931400,73.41
11/21/2013 12:00:00 AM,517.60,521.21,513.67,521.14,65506700,73.59
11/20/2013 12:00:00 AM,519.23,520.42,514.33,515.00,48479200,72.73
11/19/2013 12:00:00 AM,519.03,523.38,517.97,519.55,52234700,73.37
11/18/2013 12:00:00 AM,524.99,527.19,518.20,518.63,61236000,73.24
11/15/2013 12:00:00 AM,526.58,529.09,524.49,524.99,79480100,74.14
11/14/2013 12:00:00 AM,522.81,529.28,521.87,528.16,70604800,74.59
11/13/2013 12:00:00 AM,518.00,522.25,516.96,520.63,49305200,73.52
11/12/2013 12:00:00 AM,517.67,523.92,517.00,520.01,51069200,73.43
11/11/2013 12:00:00 AM,519.99,521.67,514.41,519.05,56863100,73.30
11/8/2013 12:00:00 AM,514.58,521.13,512.59,520.56,69829200,73.51
11/7/2013 12:00:00 AM,519.58,523.19,512.38,512.49,65655100,72.37
11/6/2013 12:00:00 AM,524.15,524.86,518.20,520.92,55843900,73.56
11/5/2013 12:00:00 AM,524.58,528.89,523.00,525.45,66303300,73.77
11/4/2013 12:00:00 AM,521.10,526.82,518.81,526.75,61156900,73.96
11/1/2013 12:00:00 AM,524.02,524.80,515.84,520.03,68722500,73.01
10/31/2013 12:00:00 AM,525.00,527.49,521.27,522.70,68924100,73.39
10/30/2013 12:00:00 AM,519.61,527.52,517.02,524.90,88540900,73.70
10/29/2013 12:00:00 AM,536.27,539.25,514.54,516.68,158951800,72.54
10/28/2013 12:00:00 AM,529.04,531.00,523.21,529.88,137610200,74.39
10/25/2013 12:00:00 AM,531.32,533.23,525.11,525.96,84448000,73.84
10/24/2013 12:00:00 AM,525.00,532.47,522.45,531.91,96191200,74.68
10/23/2013 12:00:00 AM,519.00,525.67,519.00,524.96,78430800,73.70
10/22/2013 12:00:00 AM,526.41,528.45,508.03,519.87,133515900,72.99
10/21/2013 12:00:00 AM,511.77,524.30,511.52,521.36,99526700,73.20
10/18/2013 12:00:00 AM,505.99,509.26,505.71,508.89,72635500,71.45
10/17/2013 12:00:00 AM,499.98,504.78,499.68,504.50,63398300,70.83
10/16/2013 12:00:00 AM,500.79,502.53,499.23,501.11,62775300,70.36
10/15/2013 12:00:00 AM,497.51,502.00,495.52,498.68,80018400,70.01
10/14/2013 12:00:00 AM,489.83,497.58,489.35,496.04,65474500,69.64
10/11/2013 12:00:00 AM,486.99,493.84,485.16,492.81,66934700,69.19
10/10/2013 12:00:00 AM,491.32,492.38,487.04,489.64,69650700,68.74
10/9/2013 12:00:00 AM,484.64,487.79,478.28,486.59,75431300,68.32
10/8/2013 12:00:00 AM,489.94,490.64,480.54,480.94,72729300,67.52
10/7/2013 12:00:00 AM,486.56,492.65,485.35,487.75,78073100,68.48
10/4/2013 12:00:00 AM,483.86,484.60,478.60,483.03,64717100,67.82
10/3/2013 12:00:00 AM,490.51,492.35,480.74,483.41,80688300,67.87
10/2/2013 12:00:00 AM,485.63,491.80,483.75,489.56,72296000,68.73
10/1/2013 12:00:00 AM,478.45,489.14,478.38,487.96,88470900,68.51
9/30/2013 12:00:00 AM,477.25,481.66,474.41,476.75,65039100,66.94
9/27/2013 12:00:00 AM,483.78,484.67,480.72,482.75,57010100,67.78
9/26/2013 12:00:00 AM,486.00,488.56,483.90,486.22,59305400,68.26
9/25/2013 12:00:00 AM,489.20,489.64,481.43,481.53,79239300,67.61
9/24/2013 12:00:00 AM,494.88,495.47,487.82,489.10,91086100,68.67
9/23/2013 12:00:00 AM,496.10,496.91,482.60,490.64,190526700,68.89
9/20/2013 12:00:00 AM,478.00,478.55,466.00,467.41,174825700,65.62
9/19/2013 12:00:00 AM,470.70,475.83,469.25,472.30,101135300,66.31
9/18/2013 12:00:00 AM,463.18,466.35,460.66,464.68,114215500,65.24
9/17/2013 12:00:00 AM,447.96,459.71,447.50,455.32,99845200,63.93
9/16/2013 12:00:00 AM,461.00,461.61,447.22,450.12,135926700,63.20
9/13/2013 12:00:00 AM,469.34,471.83,464.70,464.90,74708900,65.27
9/12/2013 12:00:00 AM,468.50,475.40,466.01,472.69,101012800,66.37
