Date,Open,High,Low,Close,Volume,Adj Close
7/11/2014 12:00:00 AM,6.85,6.93,6.81,6.87,56500,6.87
7/10/2014 12:00:00 AM,6.57,7.00,6.55,6.81,178400,6.81
7/9/2014 12:00:00 AM,6.85,6.92,6.72,6.80,96900,6.80
7/8/2014 12:00:00 AM,6.82,7.08,6.70,6.77,231500,6.77
7/7/2014 12:00:00 AM,7.19,7.21,7.00,7.04,157100,7.04
7/3/2014 12:00:00 AM,7.27,7.31,7.20,7.27,54400,7.27
7/2/2014 12:00:00 AM,7.27,7.35,7.23,7.28,134900,7.28
7/1/2014 12:00:00 AM,7.01,7.32,7.01,7.19,173600,7.19
6/30/2014 12:00:00 AM,6.96,7.10,6.89,7.05,97500,7.05
6/27/2014 12:00:00 AM,7.04,7.11,6.96,6.99,114700,6.99
6/26/2014 12:00:00 AM,6.69,7.04,6.69,6.97,157500,6.97
6/25/2014 12:00:00 AM,6.76,6.84,6.67,6.75,73600,6.75
6/24/2014 12:00:00 AM,6.73,7.09,6.66,6.84,240100,6.84
6/23/2014 12:00:00 AM,6.67,6.85,6.66,6.74,142900,6.74
6/20/2014 12:00:00 AM,6.72,6.73,6.64,6.70,46200,6.70
6/19/2014 12:00:00 AM,6.56,6.84,6.53,6.70,132400,6.70
6/18/2014 12:00:00 AM,6.60,6.64,6.51,6.55,81100,6.55
6/17/2014 12:00:00 AM,6.56,6.68,6.50,6.61,137900,6.61
6/16/2014 12:00:00 AM,6.60,6.74,6.53,6.61,78400,6.61
6/13/2014 12:00:00 AM,6.72,6.75,6.56,6.63,82300,6.63
6/12/2014 12:00:00 AM,6.79,6.90,6.67,6.70,87200,6.70
6/11/2014 12:00:00 AM,6.67,6.92,6.58,6.79,261100,6.79
6/10/2014 12:00:00 AM,6.61,6.80,6.61,6.71,108400,6.71
6/9/2014 12:00:00 AM,6.58,6.83,6.57,6.68,255200,6.68
6/6/2014 12:00:00 AM,6.73,6.85,6.62,6.77,248300,6.77
6/5/2014 12:00:00 AM,6.56,6.69,6.49,6.63,127500,6.63
6/4/2014 12:00:00 AM,6.50,6.63,6.48,6.52,64700,6.52
6/3/2014 12:00:00 AM,6.48,6.58,6.33,6.56,334500,6.56
6/2/2014 12:00:00 AM,6.52,6.57,6.37,6.48,140400,6.48
5/30/2014 12:00:00 AM,6.40,6.53,6.34,6.37,191600,6.37
5/29/2014 12:00:00 AM,6.22,6.58,6.22,6.47,229600,6.47
5/28/2014 12:00:00 AM,6.22,6.30,6.21,6.25,97400,6.25
5/27/2014 12:00:00 AM,6.08,6.30,6.01,6.20,183400,6.20
5/23/2014 12:00:00 AM,5.93,6.10,5.93,6.02,109700,6.02
5/22/2014 12:00:00 AM,5.80,6.03,5.80,5.93,114100,5.93
5/21/2014 12:00:00 AM,5.92,6.00,5.87,5.88,87500,5.88
5/20/2014 12:00:00 AM,6.00,6.03,5.82,5.84,178500,5.84
5/19/2014 12:00:00 AM,5.78,6.18,5.78,6.03,256500,6.03
5/16/2014 12:00:00 AM,5.67,6.10,5.65,5.88,366000,5.88
5/15/2014 12:00:00 AM,5.65,5.68,5.46,5.61,169700,5.61
5/14/2014 12:00:00 AM,5.73,5.84,5.60,5.65,124500,5.65
5/13/2014 12:00:00 AM,5.80,5.86,5.57,5.76,236800,5.76
5/12/2014 12:00:00 AM,5.80,6.00,5.61,5.82,625300,5.82
5/9/2014 12:00:00 AM,5.64,5.72,5.52,5.61,150400,5.61
5/8/2014 12:00:00 AM,5.70,5.88,5.55,5.64,230100,5.64
5/7/2014 12:00:00 AM,5.87,5.87,5.60,5.74,217800,5.74
5/6/2014 12:00:00 AM,6.07,6.14,5.86,5.88,134300,5.88
5/5/2014 12:00:00 AM,5.96,6.14,5.88,6.13,182100,6.13
5/2/2014 12:00:00 AM,6.23,6.23,5.97,6.00,416800,6.00
5/1/2014 12:00:00 AM,5.90,6.25,5.86,6.25,455400,6.25
4/30/2014 12:00:00 AM,6.32,6.34,5.29,5.71,1622700,5.71
4/29/2014 12:00:00 AM,6.49,6.63,6.27,6.54,506900,6.54
4/28/2014 12:00:00 AM,6.79,6.79,6.24,6.36,466200,6.36
4/25/2014 12:00:00 AM,7.01,7.07,6.71,6.76,288100,6.76
4/24/2014 12:00:00 AM,7.20,7.20,6.99,7.06,192100,7.06
4/23/2014 12:00:00 AM,7.09,7.18,7.03,7.06,178900,7.06
4/22/2014 12:00:00 AM,6.86,7.20,6.78,7.12,517300,7.12
4/21/2014 12:00:00 AM,6.85,6.95,6.70,6.75,140400,6.75
4/17/2014 12:00:00 AM,6.80,6.98,6.75,6.84,133000,6.84
4/16/2014 12:00:00 AM,6.82,6.86,6.62,6.85,121900,6.85
4/15/2014 12:00:00 AM,6.79,6.97,6.39,6.71,407400,6.71
4/14/2014 12:00:00 AM,7.09,7.10,6.78,6.79,358300,6.79
4/11/2014 12:00:00 AM,6.79,6.95,6.70,6.76,289200,6.76
4/10/2014 12:00:00 AM,7.40,7.42,6.80,6.85,430600,6.85
4/9/2014 12:00:00 AM,7.10,7.35,6.88,7.32,588600,7.32
4/8/2014 12:00:00 AM,6.79,6.93,6.70,6.85,247200,6.85
4/7/2014 12:00:00 AM,6.83,7.01,6.60,6.75,481600,6.75
4/4/2014 12:00:00 AM,7.10,7.27,6.80,6.92,519800,6.92
4/3/2014 12:00:00 AM,7.28,7.28,7.02,7.11,392300,7.11
4/2/2014 12:00:00 AM,7.32,7.49,7.20,7.31,390300,7.31
4/1/2014 12:00:00 AM,7.28,7.36,7.22,7.30,316500,7.30
3/31/2014 12:00:00 AM,7.23,7.40,7.18,7.25,372600,7.25
3/28/2014 12:00:00 AM,7.19,7.29,7.06,7.14,139400,7.14
3/27/2014 12:00:00 AM,7.06,7.25,6.97,7.13,398500,7.13
3/26/2014 12:00:00 AM,7.44,7.53,7.05,7.17,574800,7.17
3/25/2014 12:00:00 AM,7.53,7.60,7.23,7.37,630100,7.37
3/24/2014 12:00:00 AM,7.81,7.84,7.05,7.50,980800,7.50
3/21/2014 12:00:00 AM,8.03,8.04,7.77,7.84,419000,7.84
3/20/2014 12:00:00 AM,7.88,8.03,7.79,8.00,293600,8.00
3/19/2014 12:00:00 AM,8.12,8.26,7.85,7.89,652100,7.89
3/18/2014 12:00:00 AM,8.22,8.35,8.09,8.16,321900,8.16
3/17/2014 12:00:00 AM,8.29,8.35,8.19,8.25,247700,8.25
3/14/2014 12:00:00 AM,8.08,8.29,7.95,8.15,344100,8.15
3/13/2014 12:00:00 AM,8.47,8.53,8.02,8.08,452600,8.08
3/12/2014 12:00:00 AM,8.05,8.47,7.88,8.41,599000,8.41
3/11/2014 12:00:00 AM,8.25,8.38,8.03,8.06,528100,8.06
3/10/2014 12:00:00 AM,8.35,8.51,8.08,8.17,607800,8.17
3/7/2014 12:00:00 AM,8.40,8.49,8.11,8.23,428500,8.23
3/6/2014 12:00:00 AM,8.50,8.77,8.32,8.32,880600,8.32
3/5/2014 12:00:00 AM,8.46,8.74,8.31,8.39,4202600,8.39
3/4/2014 12:00:00 AM,9.06,9.10,8.94,9.02,338500,9.02
3/3/2014 12:00:00 AM,8.71,9.02,8.62,8.83,454100,8.83
2/28/2014 12:00:00 AM,9.04,9.12,8.65,8.83,467300,8.83
2/27/2014 12:00:00 AM,8.76,9.10,8.75,9.09,909200,9.09
2/26/2014 12:00:00 AM,8.80,8.98,8.64,8.65,450500,8.65
2/25/2014 12:00:00 AM,8.32,8.97,8.32,8.79,829300,8.79
2/24/2014 12:00:00 AM,8.36,8.62,8.17,8.22,597400,8.22
2/21/2014 12:00:00 AM,8.97,8.98,8.16,8.31,988500,8.31
2/20/2014 12:00:00 AM,8.13,8.98,8.13,8.74,1892400,8.74
2/19/2014 12:00:00 AM,8.41,8.46,8.05,8.10,225800,8.10
2/18/2014 12:00:00 AM,8.14,8.48,8.11,8.40,533000,8.40
2/14/2014 12:00:00 AM,8.06,8.19,7.89,8.05,167100,8.05
2/13/2014 12:00:00 AM,7.78,8.20,7.76,8.05,370600,8.05
2/12/2014 12:00:00 AM,7.90,8.00,7.75,7.86,227100,7.86
2/11/2014 12:00:00 AM,7.90,8.02,7.72,7.87,402600,7.87
2/10/2014 12:00:00 AM,7.88,7.89,7.60,7.85,388400,7.85
2/7/2014 12:00:00 AM,7.76,7.84,7.57,7.78,271100,7.78
2/6/2014 12:00:00 AM,7.44,7.64,7.41,7.58,300400,7.58
2/5/2014 12:00:00 AM,7.24,7.40,7.10,7.24,203300,7.24
2/4/2014 12:00:00 AM,7.15,7.46,7.00,7.30,259400,7.30
2/3/2014 12:00:00 AM,7.48,7.50,7.05,7.19,366600,7.19
1/31/2014 12:00:00 AM,7.51,7.70,7.37,7.54,220600,7.54
1/30/2014 12:00:00 AM,7.50,7.70,7.30,7.70,422800,7.70
1/29/2014 12:00:00 AM,7.12,7.85,7.08,7.55,1050800,7.55
1/28/2014 12:00:00 AM,7.21,7.21,6.85,6.92,281000,6.92
1/27/2014 12:00:00 AM,7.33,7.45,6.92,7.24,332200,7.24
1/24/2014 12:00:00 AM,7.34,7.49,7.04,7.34,480600,7.34
1/23/2014 12:00:00 AM,7.44,7.54,7.13,7.31,389800,7.31
1/22/2014 12:00:00 AM,6.81,7.71,6.60,7.53,1153100,7.53
1/21/2014 12:00:00 AM,7.21,7.40,6.78,6.87,872400,6.87
1/17/2014 12:00:00 AM,7.45,7.68,7.31,7.33,184400,7.33
1/16/2014 12:00:00 AM,7.53,7.67,7.45,7.49,305200,7.49
1/15/2014 12:00:00 AM,7.77,8.07,7.43,7.53,770100,7.53
1/14/2014 12:00:00 AM,7.59,7.72,7.57,7.70,157100,7.70
1/13/2014 12:00:00 AM,7.60,7.73,7.42,7.45,221800,7.45
1/10/2014 12:00:00 AM,7.63,7.71,7.40,7.53,108700,7.53
1/9/2014 12:00:00 AM,7.46,7.61,7.31,7.54,175100,7.54
1/8/2014 12:00:00 AM,7.81,7.81,7.43,7.46,317800,7.46
1/7/2014 12:00:00 AM,7.69,7.89,7.60,7.76,430400,7.76
1/6/2014 12:00:00 AM,7.64,7.69,7.48,7.65,365700,7.65
1/3/2014 12:00:00 AM,7.17,7.69,7.14,7.64,585100,7.64
1/2/2014 12:00:00 AM,7.06,7.25,7.05,7.12,160300,7.12
12/31/2013 12:00:00 AM,7.24,7.27,7.00,7.13,344800,7.13
12/30/2013 12:00:00 AM,7.10,7.17,6.84,6.99,291600,6.99
12/27/2013 12:00:00 AM,7.33,7.40,7.07,7.14,131800,7.14
12/26/2013 12:00:00 AM,7.28,7.38,7.17,7.36,303200,7.36
12/24/2013 12:00:00 AM,7.23,7.28,7.10,7.16,110900,7.16
12/23/2013 12:00:00 AM,7.00,7.11,6.94,7.10,296600,7.10
12/20/2013 12:00:00 AM,6.71,6.81,6.61,6.72,138500,6.72
12/19/2013 12:00:00 AM,6.69,6.73,6.51,6.67,163000,6.67
12/18/2013 12:00:00 AM,6.65,6.73,6.51,6.64,110500,6.64
12/17/2013 12:00:00 AM,6.59,6.71,6.59,6.64,71100,6.64
12/16/2013 12:00:00 AM,6.66,6.70,6.55,6.61,147100,6.61
12/13/2013 12:00:00 AM,6.58,6.74,6.49,6.69,115600,6.69
12/12/2013 12:00:00 AM,6.57,6.62,6.41,6.48,211100,6.48
12/11/2013 12:00:00 AM,6.98,7.00,6.60,6.64,284600,6.64
12/10/2013 12:00:00 AM,6.81,7.00,6.80,6.84,217700,6.84
12/9/2013 12:00:00 AM,6.81,7.08,6.66,6.96,423100,6.96
12/6/2013 12:00:00 AM,6.49,6.84,6.45,6.80,368900,6.80
12/5/2013 12:00:00 AM,6.20,6.55,6.15,6.47,134900,6.47
12/4/2013 12:00:00 AM,6.29,6.43,6.21,6.28,108700,6.28
12/3/2013 12:00:00 AM,6.44,6.45,6.28,6.36,133100,6.36
12/2/2013 12:00:00 AM,6.54,6.70,6.43,6.47,161800,6.47
11/29/2013 12:00:00 AM,6.63,6.78,6.54,6.56,96600,6.56
11/27/2013 12:00:00 AM,6.80,6.93,6.50,6.53,317300,6.53
11/26/2013 12:00:00 AM,6.11,6.78,6.02,6.73,601400,6.73
11/25/2013 12:00:00 AM,5.96,6.13,5.88,6.11,224900,6.11
11/22/2013 12:00:00 AM,5.80,5.88,5.70,5.82,131000,5.82
11/21/2013 12:00:00 AM,5.68,5.92,5.64,5.84,118900,5.84
11/20/2013 12:00:00 AM,5.61,5.87,5.46,5.67,229500,5.67
11/19/2013 12:00:00 AM,5.85,5.95,5.67,5.70,144300,5.70
11/18/2013 12:00:00 AM,6.01,6.19,5.82,5.94,192200,5.94
11/15/2013 12:00:00 AM,6.05,6.12,5.95,6.00,80600,6.00
11/14/2013 12:00:00 AM,6.09,6.15,6.01,6.07,104600,6.07
11/13/2013 12:00:00 AM,6.16,6.26,6.08,6.21,127300,6.21
11/12/2013 12:00:00 AM,5.85,6.15,5.67,6.10,271500,6.10
11/11/2013 12:00:00 AM,5.97,6.06,5.82,5.85,133300,5.85
11/8/2013 12:00:00 AM,5.68,6.10,5.68,5.97,250000,5.97
11/7/2013 12:00:00 AM,6.01,6.08,5.57,5.67,417200,5.67
11/6/2013 12:00:00 AM,6.21,6.30,5.96,6.03,257300,6.03
11/5/2013 12:00:00 AM,6.27,6.49,6.06,6.12,266600,6.12
11/4/2013 12:00:00 AM,6.73,6.77,6.28,6.30,369600,6.30
11/1/2013 12:00:00 AM,6.15,6.60,6.10,6.45,444700,6.45
10/31/2013 12:00:00 AM,6.30,6.31,5.90,6.09,566300,6.09
10/30/2013 12:00:00 AM,7.22,7.32,6.25,6.36,1305400,6.36
10/29/2013 12:00:00 AM,7.16,7.62,7.13,7.56,569000,7.56
10/28/2013 12:00:00 AM,7.30,7.31,7.07,7.08,396200,7.08
10/25/2013 12:00:00 AM,6.93,7.39,6.86,7.25,378900,7.25
10/24/2013 12:00:00 AM,7.08,7.08,6.79,6.88,221500,6.88
10/23/2013 12:00:00 AM,7.30,7.32,7.06,7.09,132200,7.09
10/22/2013 12:00:00 AM,7.34,7.45,7.16,7.32,280200,7.32
10/21/2013 12:00:00 AM,7.20,7.25,7.00,7.24,353900,7.24
10/18/2013 12:00:00 AM,6.72,7.04,6.67,6.95,229100,6.95
10/17/2013 12:00:00 AM,6.91,6.93,6.60,6.69,155200,6.69
10/16/2013 12:00:00 AM,6.72,6.84,6.62,6.79,139600,6.79
10/15/2013 12:00:00 AM,6.93,6.97,6.61,6.69,171600,6.69
10/14/2013 12:00:00 AM,6.93,7.00,6.79,6.93,202400,6.93
10/11/2013 12:00:00 AM,6.63,6.75,6.50,6.71,132300,6.71
10/10/2013 12:00:00 AM,6.60,6.80,6.52,6.60,224300,6.60
10/9/2013 12:00:00 AM,6.64,6.68,6.32,6.50,258800,6.50
10/8/2013 12:00:00 AM,6.85,6.89,6.27,6.63,661800,6.63
10/7/2013 12:00:00 AM,7.00,7.24,6.89,6.96,275900,6.96
10/4/2013 12:00:00 AM,6.91,7.20,6.91,7.03,203200,7.03
10/3/2013 12:00:00 AM,7.25,7.25,6.83,6.96,306500,6.96
10/2/2013 12:00:00 AM,7.32,7.42,7.16,7.28,254200,7.28
10/1/2013 12:00:00 AM,7.05,7.32,7.02,7.29,223500,7.29
9/30/2013 12:00:00 AM,7.02,7.05,6.81,7.00,292600,7.00
9/27/2013 12:00:00 AM,7.08,7.34,6.96,7.12,346400,7.12
9/26/2013 12:00:00 AM,7.14,7.30,7.07,7.08,417400,7.08
9/25/2013 12:00:00 AM,6.79,7.16,6.75,7.07,614300,7.07
9/24/2013 12:00:00 AM,6.23,6.85,6.23,6.73,578300,6.73
9/23/2013 12:00:00 AM,6.25,6.33,6.04,6.23,272700,6.23
9/20/2013 12:00:00 AM,6.35,6.45,6.21,6.26,276600,6.26
9/19/2013 12:00:00 AM,6.46,6.47,6.33,6.38,95600,6.38
9/18/2013 12:00:00 AM,6.41,6.49,6.32,6.47,206800,6.47
9/17/2013 12:00:00 AM,6.35,6.48,6.25,6.39,176200,6.39
9/16/2013 12:00:00 AM,6.58,6.61,6.37,6.41,217600,6.41
9/13/2013 12:00:00 AM,6.54,6.64,6.43,6.47,129900,6.47
9/12/2013 12:00:00 AM,6.59,6.70,6.40,6.55,183000,6.55
9/11/2013 12:00:00 AM,6.36,6.73,6.35,6.58,329800,6.58
9/10/2013 12:00:00 AM,6.62,6.65,6.36,6.58,478300,6.58
9/9/2013 12:00:00 AM,6.88,6.90,6.37,6.66,500100,6.66
9/6/2013 12:00:00 AM,7.01,7.06,6.85,6.86,282300,6.86
9/5/2013 12:00:00 AM,6.96,7.07,6.92,7.01,323500,7.01
9/4/2013 12:00:00 AM,6.70,7.00,6.66,6.92,563100,6.92
9/3/2013 12:00:00 AM,6.77,6.79,6.48,6.70,408800,6.70
8/30/2013 12:00:00 AM,6.46,6.65,6.42,6.55,258600,6.55
8/29/2013 12:00:00 AM,6.32,6.66,6.30,6.41,433700,6.41
8/28/2013 12:00:00 AM,6.23,6.30,6.18,6.23,364200,6.23
8/27/2013 12:00:00 AM,5.99,6.48,5.73,6.21,1484100,6.21
8/26/2013 12:00:00 AM,6.39,6.39,6.20,6.30,385400,6.30
8/23/2013 12:00:00 AM,6.49,6.60,6.03,6.39,746400,6.39
8/22/2013 12:00:00 AM,6.09,6.37,6.06,6.35,356100,6.35
8/21/2013 12:00:00 AM,6.00,6.17,6.00,6.10,392900,6.10
8/20/2013 12:00:00 AM,5.87,6.10,5.84,5.99,322700,5.99
8/19/2013 12:00:00 AM,5.72,6.00,5.37,5.84,601800,5.84
8/16/2013 12:00:00 AM,5.67,5.80,5.61,5.61,226700,5.61
8/15/2013 12:00:00 AM,5.45,5.61,5.35,5.59,182100,5.59
8/14/2013 12:00:00 AM,5.32,5.55,5.32,5.50,183600,5.50
8/13/2013 12:00:00 AM,5.42,5.54,5.33,5.36,369800,5.36
8/12/2013 12:00:00 AM,5.01,5.53,4.95,5.42,736400,5.42
8/9/2013 12:00:00 AM,5.04,5.09,4.95,5.01,107500,5.01
8/8/2013 12:00:00 AM,4.89,5.05,4.88,5.03,136100,5.03
8/7/2013 12:00:00 AM,5.06,5.10,4.87,4.92,175100,4.92
8/6/2013 12:00:00 AM,5.05,5.10,4.94,5.07,224300,5.07
8/5/2013 12:00:00 AM,5.00,5.10,4.91,5.03,173700,5.03
8/2/2013 12:00:00 AM,5.09,5.10,4.79,4.98,251000,4.98
8/1/2013 12:00:00 AM,5.10,5.10,4.96,5.08,344700,5.08
7/31/2013 12:00:00 AM,4.90,5.15,4.90,5.13,517100,5.13
7/30/2013 12:00:00 AM,4.64,4.86,4.57,4.75,493700,4.75
7/29/2013 12:00:00 AM,4.50,4.57,4.35,4.38,146500,4.38
7/26/2013 12:00:00 AM,4.47,4.51,4.29,4.47,149700,4.47
7/25/2013 12:00:00 AM,4.54,4.57,4.47,4.50,41300,4.50
7/24/2013 12:00:00 AM,4.63,4.72,4.50,4.58,81700,4.58
7/23/2013 12:00:00 AM,4.70,4.74,4.45,4.57,190200,4.57
7/22/2013 12:00:00 AM,4.73,4.77,4.61,4.68,61300,4.68
7/19/2013 12:00:00 AM,4.76,4.76,4.61,4.69,73300,4.69
7/18/2013 12:00:00 AM,4.84,4.89,4.77,4.77,119300,4.77
7/17/2013 12:00:00 AM,4.82,4.90,4.77,4.79,84300,4.79
7/16/2013 12:00:00 AM,4.90,4.92,4.71,4.77,103600,4.77
7/15/2013 12:00:00 AM,4.84,4.92,4.84,4.88,94100,4.88
7/12/2013 12:00:00 AM,4.90,4.96,4.77,4.80,95800,4.80
7/11/2013 12:00:00 AM,5.04,5.04,4.82,4.88,286900,4.88
7/10/2013 12:00:00 AM,4.59,5.00,4.59,4.98,413400,4.98
7/9/2013 12:00:00 AM,4.51,4.63,4.51,4.54,55000,4.54
7/8/2013 12:00:00 AM,4.55,4.60,4.52,4.54,45600,4.54
7/5/2013 12:00:00 AM,4.62,4.62,4.53,4.56,27900,4.56
7/3/2013 12:00:00 AM,4.60,4.65,4.56,4.62,45600,4.62
7/2/2013 12:00:00 AM,4.57,4.65,4.51,4.63,89700,4.63
7/1/2013 12:00:00 AM,4.50,4.60,4.48,4.57,140100,4.57
6/28/2013 12:00:00 AM,4.30,4.44,4.21,4.43,26900,4.43
6/27/2013 12:00:00 AM,4.41,4.50,4.28,4.28,32300,4.28
6/26/2013 12:00:00 AM,4.39,4.46,4.32,4.36,94200,4.36
6/25/2013 12:00:00 AM,4.11,4.38,4.11,4.31,185300,4.31
6/24/2013 12:00:00 AM,4.26,4.36,4.04,4.08,155200,4.08
6/21/2013 12:00:00 AM,4.39,4.39,4.17,4.37,98100,4.37
6/20/2013 12:00:00 AM,4.40,4.40,4.26,4.34,123700,4.34
6/19/2013 12:00:00 AM,4.54,4.60,4.46,4.46,67500,4.46
6/18/2013 12:00:00 AM,4.50,4.60,4.46,4.56,91900,4.56
6/17/2013 12:00:00 AM,4.47,4.55,4.43,4.48,85100,4.48
6/14/2013 12:00:00 AM,4.46,4.51,4.43,4.43,50400,4.43
6/13/2013 12:00:00 AM,4.39,4.50,4.32,4.49,139800,4.49
6/12/2013 12:00:00 AM,4.46,4.50,4.32,4.35,58500,4.35
6/11/2013 12:00:00 AM,4.46,4.53,4.42,4.46,80200,4.46
6/10/2013 12:00:00 AM,4.49,4.59,4.42,4.53,264200,4.53
6/7/2013 12:00:00 AM,4.27,4.47,4.27,4.40,267200,4.40
6/6/2013 12:00:00 AM,4.12,4.24,4.11,4.23,82600,4.23
6/5/2013 12:00:00 AM,4.09,4.27,4.08,4.15,211000,4.15
