Date,Open,High,Low,Close,Volume,Adj Close
7/11/2014 12:00:00 AM,187.73,188.35,186.71,188.00,2402500,188.00
7/10/2014 12:00:00 AM,186.44,188.05,186.21,187.70,3177800,187.70
7/9/2014 12:00:00 AM,187.68,188.90,186.89,188.42,3309600,188.42
7/8/2014 12:00:00 AM,187.65,188.08,186.37,187.22,3135100,187.22
7/7/2014 12:00:00 AM,187.61,188.27,187.44,188.04,2958700,188.04
7/3/2014 12:00:00 AM,188.39,188.81,187.35,188.53,2422400,188.53
7/2/2014 12:00:00 AM,186.34,188.99,186.17,188.39,5093000,188.39
7/1/2014 12:00:00 AM,181.70,187.27,181.70,186.35,6643100,186.35
6/30/2014 12:00:00 AM,181.33,181.93,180.26,181.27,4223800,181.27
6/27/2014 12:00:00 AM,179.77,182.46,179.66,181.71,4575500,181.71
6/26/2014 12:00:00 AM,180.87,181.37,179.27,180.37,3258500,180.37
6/25/2014 12:00:00 AM,180.25,180.97,180.06,180.72,2762800,180.72
6/24/2014 12:00:00 AM,181.50,183.00,180.65,180.88,3875400,180.88
6/23/2014 12:00:00 AM,181.92,182.25,181.00,182.14,3231700,182.14
6/20/2014 12:00:00 AM,182.59,182.67,181.40,181.55,10686800,181.55
6/19/2014 12:00:00 AM,184.12,184.47,182.36,182.82,3551100,182.82
6/18/2014 12:00:00 AM,182.04,183.61,181.79,183.60,3931800,183.60
6/17/2014 12:00:00 AM,181.90,182.81,181.56,182.26,2445400,182.26
6/16/2014 12:00:00 AM,182.40,182.71,181.24,182.35,3538700,182.35
6/13/2014 12:00:00 AM,182.00,183.00,181.52,182.56,2773600,182.56
6/12/2014 12:00:00 AM,182.48,182.55,180.91,181.22,4425300,181.22
6/11/2014 12:00:00 AM,183.61,184.20,182.01,182.25,4061700,182.25
6/10/2014 12:00:00 AM,186.20,186.22,183.82,184.29,4154900,184.29
6/9/2014 12:00:00 AM,186.22,187.64,185.96,186.22,2728400,186.22
6/6/2014 12:00:00 AM,186.47,187.65,185.90,186.37,3296700,186.37
6/5/2014 12:00:00 AM,184.66,186.09,183.92,185.98,2852200,185.98
6/4/2014 12:00:00 AM,184.71,185.45,184.20,184.51,2376800,184.51
6/3/2014 12:00:00 AM,185.55,185.76,184.12,184.37,2517100,184.37
6/2/2014 12:00:00 AM,184.76,186.28,184.67,185.69,3200500,185.69
5/30/2014 12:00:00 AM,183.38,184.57,182.49,184.36,4620500,184.36
5/29/2014 12:00:00 AM,183.64,183.78,182.33,183.76,2759900,183.76
5/28/2014 12:00:00 AM,184.48,184.88,182.94,183.08,3721600,183.08
5/27/2014 12:00:00 AM,184.80,185.65,183.93,184.78,4793800,184.78
5/23/2014 12:00:00 AM,185.84,186.14,185.31,185.94,2562900,185.94
5/22/2014 12:00:00 AM,186.45,186.45,185.03,185.68,2218000,185.68
5/21/2014 12:00:00 AM,185.85,187.16,184.95,186.39,2988000,186.39
5/20/2014 12:00:00 AM,186.25,186.70,184.70,184.89,3026500,184.89
5/19/2014 12:00:00 AM,186.61,187.13,186.04,187.00,3270700,187.00
5/16/2014 12:00:00 AM,186.27,187.41,185.93,187.06,3949500,187.06
5/15/2014 12:00:00 AM,189.07,189.08,186.18,186.46,4202200,186.46
