Date,Open,High,Low,Close,Volume,Adj Close
7/1/2014 12:00:00 AM,7.01,7.35,6.55,6.87,142400,6.87
6/2/2014 12:00:00 AM,6.52,7.11,6.33,7.05,148000,7.05
5/1/2014 12:00:00 AM,5.90,6.58,5.46,6.37,235600,6.37
4/1/2014 12:00:00 AM,7.28,7.49,5.29,5.71,486200,5.71
3/3/2014 12:00:00 AM,8.71,9.10,6.97,7.25,678000,7.25
2/3/2014 12:00:00 AM,7.48,9.12,7.00,8.83,543000,8.83
1/2/2014 12:00:00 AM,7.06,8.07,6.60,7.54,438300,7.54
12/2/2013 12:00:00 AM,6.54,7.40,6.15,7.13,219600,7.13
11/1/2013 12:00:00 AM,6.15,6.93,5.46,6.56,243700,6.56
10/1/2013 12:00:00 AM,7.05,7.62,5.90,6.09,356800,6.09
9/3/2013 12:00:00 AM,6.77,7.34,6.04,7.00,349200,7.00
8/1/2013 12:00:00 AM,5.10,6.66,4.79,6.55,396100,6.55
7/1/2013 12:00:00 AM,4.50,5.15,4.29,5.13,176000,5.13
6/3/2013 12:00:00 AM,4.10,4.60,4.04,4.43,114500,4.43
5/1/2013 12:00:00 AM,3.90,4.23,3.68,4.14,98900,4.14
4/1/2013 12:00:00 AM,3.82,4.05,3.02,3.94,118200,3.94
3/1/2013 12:00:00 AM,4.07,4.19,3.72,3.80,131000,3.80
2/1/2013 12:00:00 AM,3.73,4.75,3.64,4.09,254800,4.09
1/2/2013 12:00:00 AM,3.30,3.87,3.20,3.68,137500,3.68
12/3/2012 12:00:00 AM,2.81,3.35,2.67,3.22,106000,3.22
11/1/2012 12:00:00 AM,2.25,2.82,2.25,2.81,77400,2.81
10/1/2012 12:00:00 AM,2.52,2.77,2.18,2.22,90300,2.22
9/4/2012 12:00:00 AM,1.39,3.20,1.36,2.51,320200,2.51
8/1/2012 12:00:00 AM,1.58,1.60,1.20,1.40,73700,1.40
7/2/2012 12:00:00 AM,1.73,1.93,1.46,1.58,61400,1.58
6/1/2012 12:00:00 AM,1.79,2.28,1.70,1.76,62700,1.76
5/1/2012 12:00:00 AM,2.38,2.45,1.73,1.84,89500,1.84
4/2/2012 12:00:00 AM,2.74,2.77,2.31,2.35,60600,2.35
3/1/2012 12:00:00 AM,3.51,3.69,2.58,2.72,153300,2.72
2/1/2012 12:00:00 AM,4.09,4.24,3.26,3.51,103400,3.51
1/3/2012 12:00:00 AM,4.03,4.25,3.47,4.13,87300,4.13
12/1/2011 12:00:00 AM,3.49,3.98,3.46,3.90,100800,3.90
11/1/2011 12:00:00 AM,3.25,3.58,3.00,3.50,105100,3.50
10/3/2011 12:00:00 AM,2.90,3.73,2.28,3.57,191800,3.57
9/1/2011 12:00:00 AM,4.20,4.44,2.96,3.12,128400,3.12
8/1/2011 12:00:00 AM,5.42,5.53,3.70,4.22,131000,4.22
7/1/2011 12:00:00 AM,5.50,5.75,4.74,5.49,146100,5.49
6/1/2011 12:00:00 AM,5.28,5.49,3.93,5.49,152500,5.49
5/2/2011 12:00:00 AM,6.18,6.39,5.25,5.35,138900,5.35
4/1/2011 12:00:00 AM,5.99,6.24,5.42,6.17,111900,6.17
3/1/2011 12:00:00 AM,6.51,6.95,5.38,5.95,198200,5.95
2/1/2011 12:00:00 AM,6.88,8.07,6.15,6.51,426900,6.51
1/3/2011 12:00:00 AM,6.00,7.76,6.00,6.91,433300,6.91
12/1/2010 12:00:00 AM,4.61,6.51,4.61,5.89,355700,5.89
11/1/2010 12:00:00 AM,5.05,5.16,4.34,4.53,170400,4.53
10/1/2010 12:00:00 AM,3.90,5.03,3.70,4.99,233300,4.99
9/1/2010 12:00:00 AM,2.67,3.99,2.63,3.90,196200,3.90
8/2/2010 12:00:00 AM,2.92,3.20,2.49,2.60,78800,2.60
7/1/2010 12:00:00 AM,2.48,2.97,2.31,2.95,81200,2.95
6/1/2010 12:00:00 AM,2.74,2.82,2.43,2.47,79700,2.47
5/3/2010 12:00:00 AM,3.80,3.80,2.43,2.82,148300,2.82
4/1/2010 12:00:00 AM,4.02,4.39,3.80,3.93,103700,3.93
3/1/2010 12:00:00 AM,3.51,4.17,3.50,4.04,96400,4.04
2/1/2010 12:00:00 AM,3.15,3.58,3.04,3.48,137400,3.48
1/4/2010 12:00:00 AM,2.73,3.50,2.65,3.10,150900,3.10
