Date,Open,High,Low,Close,Volume,Adj Close
7/1/2014 12:00:00 AM,181.70,188.99,181.70,188.00,3943000,188.00
6/2/2014 12:00:00 AM,184.76,187.65,179.27,181.27,3937700,181.27
5/1/2014 12:00:00 AM,196.31,196.74,182.33,184.36,3554200,184.36
4/1/2014 12:00:00 AM,193.12,199.21,187.01,196.47,5840600,195.33
3/3/2014 12:00:00 AM,183.33,195.63,182.21,192.49,6072400,191.38
2/3/2014 12:00:00 AM,176.02,186.12,172.19,185.17,4827500,184.10
1/2/2014 12:00:00 AM,187.21,190.81,175.34,176.68,6127700,174.70
12/2/2013 12:00:00 AM,179.46,187.79,172.73,187.57,4838700,185.47
11/1/2013 12:00:00 AM,179.81,186.24,177.31,179.68,5192700,177.67
10/1/2013 12:00:00 AM,185.34,186.99,172.57,179.21,5881900,176.25
9/3/2013 12:00:00 AM,183.63,194.89,182.31,185.18,3773300,182.13
8/1/2013 12:00:00 AM,196.65,197.17,181.10,182.27,3445800,179.26
7/1/2013 12:00:00 AM,192.15,200.94,190.26,195.04,4176700,190.87
6/3/2013 12:00:00 AM,208.25,210.05,188.41,191.11,4513500,187.02
5/1/2013 12:00:00 AM,201.87,211.98,199.20,208.02,4346900,203.57
4/1/2013 12:00:00 AM,212.80,214.89,187.68,202.54,5282100,197.28
3/1/2013 12:00:00 AM,200.65,215.90,199.36,213.30,3988600,207.77
2/1/2013 12:00:00 AM,204.65,205.35,197.51,200.83,3622800,195.62
1/2/2013 12:00:00 AM,194.09,208.58,190.39,203.07,4320300,196.97
12/3/2012 12:00:00 AM,190.76,196.45,186.94,191.55,4200200,185.80
11/1/2012 12:00:00 AM,194.68,198.00,184.78,190.07,4134700,184.36
10/1/2012 12:00:00 AM,208.01,211.79,190.56,194.53,4867000,187.87
9/4/2012 12:00:00 AM,196.61,208.32,193.25,207.45,4329000,200.34
8/1/2012 12:00:00 AM,196.96,202.00,193.02,194.85,2775900,188.17
7/2/2012 12:00:00 AM,196.36,197.84,181.85,195.98,4524900,188.46
6/1/2012 12:00:00 AM,190.12,199.99,187.00,195.58,4277000,188.08
5/1/2012 12:00:00 AM,207.18,208.93,192.00,192.90,4331400,185.50
4/2/2012 12:00:00 AM,208.96,210.69,196.79,207.08,4468800,198.30
3/1/2012 12:00:00 AM,197.23,209.12,196.81,208.65,4150500,199.81
2/1/2012 12:00:00 AM,193.21,199.23,190.83,196.73,4196300,188.39
1/3/2012 12:00:00 AM,186.73,193.10,177.35,192.60,5742000,183.72
12/1/2011 12:00:00 AM,187.01,194.90,179.04,183.88,5093600,175.40
11/1/2011 12:00:00 AM,181.55,189.97,177.06,188.00,4992900,179.34
10/3/2011 12:00:00 AM,174.36,190.53,168.88,184.63,7108200,175.42
9/1/2011 12:00:00 AM,172.71,180.91,158.76,174.87,6938200,166.14
8/1/2011 12:00:00 AM,182.60,183.69,157.13,171.91,8744700,163.33
7/1/2011 12:00:00 AM,171.61,185.63,171.49,181.85,6012900,172.02
6/1/2011 12:00:00 AM,168.90,172.45,161.52,171.55,5024800,162.28
5/2/2011 12:00:00 AM,172.11,173.54,165.90,168.93,5710800,159.80
4/1/2011 12:00:00 AM,163.70,173.00,162.19,170.58,5317800,160.65
3/1/2011 12:00:00 AM,163.15,167.72,151.71,163.07,5807600,153.57
2/1/2011 12:00:00 AM,162.11,166.25,159.03,161.88,4938900,152.45
1/3/2011 12:00:00 AM,147.21,164.35,146.64,162.00,6301400,151.96
12/1/2010 12:00:00 AM,143.61,147.50,143.51,146.76,4380100,137.67
11/1/2010 12:00:00 AM,143.64,147.53,141.18,141.46,5322400,132.70
10/1/2010 12:00:00 AM,135.51,144.00,134.39,143.60,6939200,134.11
9/1/2010 12:00:00 AM,125.31,136.11,124.52,134.14,5834200,125.27
8/2/2010 12:00:00 AM,129.25,132.49,122.28,123.13,5591700,114.99
7/1/2010 12:00:00 AM,123.55,131.60,120.61,128.40,7147600,119.32
6/1/2010 12:00:00 AM,124.69,131.94,122.82,123.48,7728900,114.75
5/3/2010 12:00:00 AM,129.39,133.10,116.00,125.26,9793300,116.40
4/1/2010 12:00:00 AM,128.95,132.28,127.12,129.00,7271100,119.27
3/1/2010 12:00:00 AM,127.50,130.73,125.20,128.25,6300000,118.57
2/1/2010 12:00:00 AM,123.23,128.27,121.61,127.16,6210200,117.57
1/4/2010 12:00:00 AM,131.18,134.25,121.90,122.39,8825300,112.65
