Date,Open,High,Low,Close,Volume,Adj Close
7/1/2014 12:00:00 AM,41.86,42.15,41.05,42.09,25582600,42.09
6/2/2014 12:00:00 AM,40.95,42.29,39.86,41.70,27904700,41.70
5/1/2014 12:00:00 AM,40.24,40.97,38.51,40.94,28996600,40.94
4/1/2014 12:00:00 AM,41.15,41.66,38.90,40.40,37217700,40.12
3/3/2014 12:00:00 AM,37.92,41.50,37.49,40.99,39300500,40.70
2/3/2014 12:00:00 AM,37.74,38.46,35.69,38.31,39290500,38.04
1/2/2014 12:00:00 AM,37.35,37.89,34.63,37.84,48732700,37.30
12/2/2013 12:00:00 AM,38.09,38.98,35.53,37.41,40196200,36.87
11/1/2013 12:00:00 AM,35.67,38.29,35.39,38.13,41126100,37.58
10/1/2013 12:00:00 AM,33.35,36.29,32.80,35.41,43783200,34.64
9/3/2013 12:00:00 AM,31.75,33.75,30.95,33.28,64140000,32.55
8/1/2013 12:00:00 AM,32.06,35.20,30.84,33.40,49729700,32.67
7/1/2013 12:00:00 AM,34.75,36.43,31.02,31.84,52501300,30.93
6/3/2013 12:00:00 AM,34.92,35.78,32.57,34.54,50535000,33.55
5/1/2013 12:00:00 AM,32.93,35.28,32.32,34.90,51273800,33.90
4/1/2013 12:00:00 AM,28.64,33.11,28.11,33.10,70041900,31.93
3/1/2013 12:00:00 AM,27.72,28.66,27.52,28.61,45019900,27.60
2/1/2013 12:00:00 AM,27.67,28.20,27.10,27.80,42969800,26.82
1/2/2013 12:00:00 AM,27.25,28.23,26.28,27.45,56932500,26.26
12/3/2012 12:00:00 AM,26.78,27.73,26.26,26.71,49503000,25.55
11/1/2012 12:00:00 AM,28.84,30.20,26.34,26.62,66390700,25.47
10/1/2012 12:00:00 AM,29.81,30.25,27.76,28.54,55946000,27.08
9/4/2012 12:00:00 AM,30.45,31.61,29.74,29.76,49859800,28.24
8/1/2012 12:00:00 AM,29.59,30.96,28.97,30.82,30797300,29.24
7/2/2012 12:00:00 AM,30.62,31.05,28.54,29.47,42105900,27.78
6/1/2012 12:00:00 AM,28.76,31.14,28.32,30.59,48969400,28.83
5/1/2012 12:00:00 AM,32.05,32.34,28.64,29.19,47886600,27.51
4/2/2012 12:00:00 AM,32.22,32.89,30.23,32.02,48821800,29.99
3/1/2012 12:00:00 AM,31.93,32.95,31.49,32.26,44277900,30.21
2/1/2012 12:00:00 AM,29.79,32.00,29.71,31.74,52182700,29.72
1/3/2012 12:00:00 AM,26.55,29.95,26.39,29.53,70271500,27.47
12/1/2011 12:00:00 AM,25.56,26.19,25.16,25.96,49264800,24.15
11/1/2011 12:00:00 AM,26.19,27.20,24.30,25.58,53693200,23.80
10/3/2011 12:00:00 AM,24.72,27.50,24.26,26.63,60235300,24.59
9/1/2011 12:00:00 AM,26.46,27.50,24.60,24.89,63522800,22.98
8/1/2011 12:00:00 AM,27.51,27.69,23.79,26.60,77332100,24.56
7/1/2011 12:00:00 AM,25.93,28.15,25.84,27.40,68186100,25.14
6/1/2011 12:00:00 AM,24.99,26.00,23.65,26.00,61376900,23.86
5/2/2011 12:00:00 AM,25.94,26.25,24.03,25.01,67821800,22.95
4/1/2011 12:00:00 AM,25.53,26.87,24.72,25.92,81658100,23.63
3/1/2011 12:00:00 AM,26.60,26.78,24.68,25.39,59744300,23.15
2/1/2011 12:00:00 AM,27.80,28.34,26.43,26.58,61355100,24.23
1/3/2011 12:00:00 AM,28.05,29.46,27.42,27.73,71314300,25.13
12/1/2010 12:00:00 AM,25.57,28.40,25.56,27.91,48111900,25.29
11/1/2010 12:00:00 AM,26.88,28.87,24.93,25.26,68402700,22.89
10/1/2010 12:00:00 AM,24.77,27.20,23.78,26.67,66458300,24.02
9/1/2010 12:00:00 AM,23.67,25.53,23.54,24.49,63542900,22.06
8/2/2010 12:00:00 AM,25.99,26.38,23.32,23.47,61156600,21.14
7/1/2010 12:00:00 AM,23.09,26.41,22.73,25.81,71053500,23.12
6/1/2010 12:00:00 AM,25.53,26.93,22.95,23.01,79675500,20.62
5/3/2010 12:00:00 AM,30.67,31.06,24.56,25.80,89381300,23.12
4/1/2010 12:00:00 AM,29.35,31.58,28.62,30.54,65821100,27.24
3/1/2010 12:00:00 AM,28.77,30.57,28.24,29.29,51043300,26.12
2/1/2010 12:00:00 AM,28.39,29.03,27.57,28.67,58684900,25.57
1/4/2010 12:00:00 AM,30.62,31.24,27.66,28.18,81765200,25.02
