Date,Open,High,Low,Close,Volume,Adj Close
7/7/2014 12:00:00 AM,94.14,96.80,93.52,95.22,46275300,95.22
6/30/2014 12:00:00 AM,92.10,94.10,92.09,94.03,34741300,94.03
6/23/2014 12:00:00 AM,91.32,92.00,89.65,91.98,43212200,91.98
6/16/2014 12:00:00 AM,91.51,92.75,90.90,90.91,47008800,90.91
6/9/2014 12:00:00 AM,92.70,95.05,90.88,91.28,58629400,91.28
6/2/2014 12:00:00 AM,633.96,651.26,622.50,645.57,82564300,92.22
5/27/2014 12:00:00 AM,615.88,644.17,615.63,633.00,100302600,90.43
5/19/2014 12:00:00 AM,597.85,614.73,597.33,614.13,59121000,87.73
5/12/2014 12:00:00 AM,587.49,597.53,585.40,597.51,52322600,85.36
5/5/2014 12:00:00 AM,590.14,604.41,580.33,585.54,73319500,83.65
4/28/2014 12:00:00 AM,572.80,599.43,572.55,592.58,94953300,84.18
4/21/2014 12:00:00 AM,525.34,571.99,523.96,571.94,96511900,81.25
4/14/2014 12:00:00 AM,521.90,527.76,511.33,524.94,60704000,74.57
4/7/2014 12:00:00 AM,528.02,532.24,517.14,519.61,62563900,73.82
3/31/2014 12:00:00 AM,539.23,543.48,530.58,531.82,49372200,75.55
3/24/2014 12:00:00 AM,538.42,549.00,534.25,536.86,68017800,76.27
3/17/2014 12:00:00 AM,527.70,536.24,525.20,532.87,60819600,75.70
3/10/2014 12:00:00 AM,528.36,539.66,523.00,524.69,57603800,74.54
3/3/2014 12:00:00 AM,523.42,534.75,522.81,530.44,55210100,75.36
2/24/2014 12:00:00 AM,523.15,532.75,515.60,526.24,73546400,74.76
2/18/2014 12:00:00 AM,546.00,551.19,524.60,525.25,72416400,74.62
2/10/2014 12:00:00 AM,518.66,545.98,518.00,543.99,75811900,77.28
2/3/2014 12:00:00 AM,502.61,522.93,499.30,519.68,86726700,73.83
1/27/2014 12:00:00 AM,550.07,554.80,493.55,500.60,163325500,70.69
1/21/2014 12:00:00 AM,540.99,557.29,540.42,546.07,96319100,77.12
1/13/2014 12:00:00 AM,529.91,560.20,529.88,540.67,87935500,76.35
1/6/2014 12:00:00 AM,537.45,546.86,531.11,532.94,78623700,75.26
12/30/2013 12:00:00 AM,557.46,561.28,540.43,540.98,68991600,76.40
12/23/2013 12:00:00 AM,568.00,571.88,559.50,560.09,68672100,79.10
12/16/2013 12:00:00 AM,555.02,562.64,538.80,549.02,91754000,77.53
12/9/2013 12:00:00 AM,560.90,570.97,553.67,554.43,77679700,78.30
12/2/2013 12:00:00 AM,558.00,575.14,550.82,560.02,104662700,79.09
11/25/2013 12:00:00 AM,521.02,558.33,521.00,556.07,82016900,78.53
11/18/2013 12:00:00 AM,524.99,527.19,513.67,519.80,56677600,73.41
11/11/2013 12:00:00 AM,519.99,529.28,514.41,524.99,61464400,74.14
11/4/2013 12:00:00 AM,521.10,528.89,512.38,520.56,63757600,73.51
10/28/2013 12:00:00 AM,529.04,539.25,514.54,520.03,104549900,73.01
10/21/2013 12:00:00 AM,511.77,533.23,508.03,525.96,98422500,73.84
10/14/2013 12:00:00 AM,489.83,509.26,489.35,508.89,68860400,71.45
10/7/2013 12:00:00 AM,486.56,493.84,478.28,492.81,72563800,69.19
