Date,Open,High,Low,Close,Volume,Adj Close
7/7/2014 12:00:00 AM,7.19,7.21,6.55,6.87,144000,6.87
6/30/2014 12:00:00 AM,6.96,7.35,6.89,7.27,115100,7.27
6/23/2014 12:00:00 AM,6.67,7.11,6.66,6.99,145700,6.99
6/16/2014 12:00:00 AM,6.60,6.84,6.50,6.70,95200,6.70
6/9/2014 12:00:00 AM,6.58,6.92,6.56,6.63,158800,6.63
6/2/2014 12:00:00 AM,6.52,6.85,6.33,6.77,183000,6.77
5/27/2014 12:00:00 AM,6.08,6.58,6.01,6.37,175500,6.37
5/19/2014 12:00:00 AM,5.78,6.18,5.78,6.02,149200,6.02
5/12/2014 12:00:00 AM,5.80,6.10,5.46,5.88,304400,5.88
5/5/2014 12:00:00 AM,5.96,6.14,5.52,5.61,182900,5.61
4/28/2014 12:00:00 AM,6.79,6.79,5.29,6.00,693600,6.00
4/21/2014 12:00:00 AM,6.85,7.20,6.70,6.76,263300,6.76
4/14/2014 12:00:00 AM,7.09,7.10,6.39,6.84,255100,6.84
4/7/2014 12:00:00 AM,6.83,7.42,6.60,6.76,407400,6.76
3/31/2014 12:00:00 AM,7.23,7.49,6.80,6.92,398300,6.92
3/24/2014 12:00:00 AM,7.81,7.84,6.97,7.14,544700,7.14
3/17/2014 12:00:00 AM,8.29,8.35,7.77,7.84,386800,7.84
3/10/2014 12:00:00 AM,8.35,8.53,7.88,8.15,506300,8.15
3/3/2014 12:00:00 AM,8.71,9.10,8.11,8.23,1260800,8.23
2/24/2014 12:00:00 AM,8.36,9.12,8.17,8.83,650700,8.83
2/18/2014 12:00:00 AM,8.14,8.98,8.05,8.31,909900,8.31
2/10/2014 12:00:00 AM,7.88,8.20,7.60,8.05,311100,8.05
2/3/2014 12:00:00 AM,7.48,7.84,7.00,7.78,280100,7.78
1/27/2014 12:00:00 AM,7.33,7.85,6.85,7.54,461400,7.54
1/21/2014 12:00:00 AM,7.21,7.71,6.60,7.34,723900,7.34
1/13/2014 12:00:00 AM,7.60,8.07,7.31,7.33,327700,7.33
1/6/2014 12:00:00 AM,7.64,7.89,7.31,7.53,279500,7.53
12/30/2013 12:00:00 AM,7.10,7.69,6.84,7.64,345400,7.64
12/23/2013 12:00:00 AM,7.00,7.40,6.94,7.14,210600,7.14
12/16/2013 12:00:00 AM,6.66,6.81,6.51,6.72,126000,6.72
12/9/2013 12:00:00 AM,6.81,7.08,6.41,6.69,250400,6.69
12/2/2013 12:00:00 AM,6.54,6.84,6.15,6.80,181400,6.80
11/25/2013 12:00:00 AM,5.96,6.93,5.88,6.56,310000,6.56
11/18/2013 12:00:00 AM,6.01,6.19,5.46,5.82,163100,5.82
11/11/2013 12:00:00 AM,5.97,6.26,5.67,6.00,143400,6.00
11/4/2013 12:00:00 AM,6.73,6.77,5.57,5.97,312100,5.97
10/28/2013 12:00:00 AM,7.30,7.62,5.90,6.45,656300,6.45
10/21/2013 12:00:00 AM,7.20,7.45,6.79,7.25,273300,7.25
10/14/2013 12:00:00 AM,6.93,7.04,6.60,6.95,179500,6.95
10/7/2013 12:00:00 AM,7.00,7.24,6.27,6.71,310600,6.71
9/30/2013 12:00:00 AM,7.02,7.42,6.81,7.03,256000,7.03
9/23/2013 12:00:00 AM,6.25,7.34,6.04,7.12,445800,7.12
9/16/2013 12:00:00 AM,6.58,6.61,6.21,6.26,194500,6.26
9/9/2013 12:00:00 AM,6.88,6.90,6.35,6.47,324200,6.47
9/3/2013 12:00:00 AM,6.77,7.07,6.48,6.86,394400,6.86
8/26/2013 12:00:00 AM,6.39,6.66,5.73,6.55,585200,6.55
8/19/2013 12:00:00 AM,5.72,6.60,5.37,6.39,483900,6.39
8/12/2013 12:00:00 AM,5.01,5.80,4.95,5.61,339700,5.61
8/5/2013 12:00:00 AM,5.00,5.10,4.87,5.01,163300,5.01
7/29/2013 12:00:00 AM,4.50,5.15,4.35,4.98,350600,4.98
7/22/2013 12:00:00 AM,4.73,4.77,4.29,4.47,104800,4.47
7/15/2013 12:00:00 AM,4.84,4.92,4.61,4.69,94900,4.69
7/8/2013 12:00:00 AM,4.55,5.04,4.51,4.80,179300,4.80
7/1/2013 12:00:00 AM,4.50,4.65,4.48,4.56,75800,4.56
6/24/2013 12:00:00 AM,4.26,4.50,4.04,4.43,98700,4.43
6/17/2013 12:00:00 AM,4.47,4.60,4.17,4.37,93200,4.37
6/10/2013 12:00:00 AM,4.49,4.59,4.32,4.43,118600,4.43
6/3/2013 12:00:00 AM,4.10,4.47,4.08,4.40,142100,4.40
5/28/2013 12:00:00 AM,4.12,4.15,3.92,4.14,105200,4.14
5/20/2013 12:00:00 AM,3.95,4.18,3.89,4.03,106900,4.03
5/13/2013 12:00:00 AM,4.02,4.03,3.68,3.88,68600,3.88
5/6/2013 12:00:00 AM,4.08,4.23,4.04,4.05,119700,4.05
4/29/2013 12:00:00 AM,3.94,4.05,3.72,4.01,97400,4.01
4/22/2013 12:00:00 AM,3.59,4.00,3.42,3.93,100600,3.93
4/15/2013 12:00:00 AM,3.42,3.68,3.29,3.54,62600,3.54
4/8/2013 12:00:00 AM,3.27,3.47,3.10,3.45,109400,3.45
4/1/2013 12:00:00 AM,3.82,3.84,3.02,3.31,168100,3.31
3/25/2013 12:00:00 AM,3.94,3.94,3.72,3.80,96500,3.80
3/18/2013 12:00:00 AM,3.96,4.05,3.80,3.90,103800,3.90
3/11/2013 12:00:00 AM,4.00,4.19,3.89,3.99,174600,3.99
3/4/2013 12:00:00 AM,4.02,4.12,3.85,4.00,126100,4.00
2/25/2013 12:00:00 AM,4.11,4.30,3.66,4.00,217700,4.00
2/19/2013 12:00:00 AM,4.28,4.50,4.02,4.13,182100,4.13
2/11/2013 12:00:00 AM,4.64,4.75,4.27,4.30,206000,4.30
2/4/2013 12:00:00 AM,4.02,4.50,3.89,4.39,324000,4.39
1/28/2013 12:00:00 AM,3.71,4.04,3.20,4.02,274900,4.02
1/22/2013 12:00:00 AM,3.70,3.79,3.62,3.72,53300,3.72
1/14/2013 12:00:00 AM,3.58,3.78,3.36,3.70,68800,3.70
1/7/2013 12:00:00 AM,3.31,3.62,3.31,3.62,123200,3.62
12/31/2012 12:00:00 AM,3.00,3.46,2.89,3.34,109300,3.34
12/24/2012 12:00:00 AM,3.10,3.18,2.94,3.05,65400,3.05
12/17/2012 12:00:00 AM,3.01,3.35,3.01,3.14,90600,3.14
12/10/2012 12:00:00 AM,2.89,3.13,2.84,3.02,145200,3.02
12/3/2012 12:00:00 AM,2.81,2.95,2.67,2.92,68600,2.92
11/26/2012 12:00:00 AM,2.50,2.82,2.47,2.81,64300,2.81
11/19/2012 12:00:00 AM,2.48,2.57,2.41,2.49,21700,2.49
11/12/2012 12:00:00 AM,2.66,2.70,2.36,2.37,36400,2.37
11/5/2012 12:00:00 AM,2.76,2.76,2.55,2.66,118900,2.66
10/31/2012 12:00:00 AM,2.25,2.60,2.18,2.49,124800,2.49
10/22/2012 12:00:00 AM,2.36,2.48,2.18,2.27,59100,2.27
10/15/2012 12:00:00 AM,2.50,2.52,2.22,2.33,56300,2.33
10/8/2012 12:00:00 AM,2.30,2.73,2.22,2.53,127700,2.53
10/1/2012 12:00:00 AM,2.52,2.77,2.30,2.33,122300,2.33
9/24/2012 12:00:00 AM,2.50,3.20,2.13,2.51,364200,2.51
9/17/2012 12:00:00 AM,2.02,2.56,2.02,2.49,200700,2.49
9/10/2012 12:00:00 AM,1.67,2.15,1.65,2.00,325700,2.00
9/4/2012 12:00:00 AM,1.39,1.84,1.36,1.70,299300,1.70
8/27/2012 12:00:00 AM,1.39,1.50,1.34,1.40,93000,1.40
8/20/2012 12:00:00 AM,1.42,1.42,1.35,1.40,54700,1.40
8/13/2012 12:00:00 AM,1.50,1.50,1.38,1.41,61500,1.41
8/6/2012 12:00:00 AM,1.47,1.60,1.20,1.50,80600,1.50
7/30/2012 12:00:00 AM,1.58,1.61,1.47,1.49,58400,1.49
7/23/2012 12:00:00 AM,1.67,1.68,1.46,1.59,77600,1.59
7/16/2012 12:00:00 AM,1.67,1.76,1.64,1.70,41600,1.70
7/9/2012 12:00:00 AM,1.71,1.93,1.62,1.73,58500,1.73
7/2/2012 12:00:00 AM,1.73,1.74,1.67,1.71,49100,1.71
6/25/2012 12:00:00 AM,1.77,1.82,1.70,1.76,38000,1.76
6/18/2012 12:00:00 AM,2.01,2.08,1.77,1.81,61000,1.81
6/11/2012 12:00:00 AM,2.21,2.28,2.00,2.02,59600,2.02
6/4/2012 12:00:00 AM,1.79,2.24,1.76,2.15,80100,2.15
5/29/2012 12:00:00 AM,1.85,1.99,1.76,1.77,92500,1.77
5/21/2012 12:00:00 AM,1.74,1.90,1.73,1.80,52300,1.80
5/14/2012 12:00:00 AM,2.24,2.28,1.82,1.82,95000,1.82
5/7/2012 12:00:00 AM,2.20,2.45,2.20,2.31,92600,2.31
4/30/2012 12:00:00 AM,2.40,2.41,2.08,2.23,47300,2.23
4/23/2012 12:00:00 AM,2.50,2.51,2.31,2.38,61300,2.38
4/16/2012 12:00:00 AM,2.65,2.67,2.50,2.51,42200,2.51
4/9/2012 12:00:00 AM,2.60,2.74,2.60,2.65,55500,2.65
4/2/2012 12:00:00 AM,2.74,2.77,2.65,2.65,77600,2.65
3/26/2012 12:00:00 AM,3.13,3.13,2.58,2.72,371900,2.72
3/19/2012 12:00:00 AM,3.40,3.69,3.38,3.52,44100,3.52
3/12/2012 12:00:00 AM,3.24,3.46,3.19,3.38,115700,3.38
3/5/2012 12:00:00 AM,3.46,3.58,3.21,3.32,94800,3.32
2/27/2012 12:00:00 AM,3.50,3.59,3.26,3.50,93100,3.50
2/21/2012 12:00:00 AM,3.73,3.73,3.50,3.62,106500,3.62
2/13/2012 12:00:00 AM,3.90,3.98,3.57,3.75,88800,3.75
2/6/2012 12:00:00 AM,4.00,4.05,3.80,3.95,96500,3.95
1/30/2012 12:00:00 AM,4.07,4.24,3.86,4.01,98700,4.01
1/23/2012 12:00:00 AM,4.04,4.25,3.94,4.16,92800,4.16
1/17/2012 12:00:00 AM,4.06,4.10,3.86,4.04,111600,4.04
1/9/2012 12:00:00 AM,3.92,4.07,3.47,4.06,75500,4.06
