Date,Open,High,Low,Close,Volume,Adj Close
7/7/2014 12:00:00 AM,593.51,595.65,572.10,586.65,1556500,586.65
6/30/2014 12:00:00 AM,586.76,594.25,583.29,593.08,1304200,593.08
6/23/2014 12:00:00 AM,564.35,589.60,563.50,585.69,2141000,585.69
6/16/2014 12:00:00 AM,557.25,566.77,547.47,566.52,2252900,566.52
6/9/2014 12:00:00 AM,566.75,572.00,553.72,560.35,1408400,560.35
6/2/2014 12:00:00 AM,569.75,570.41,548.56,566.03,1790900,566.03
5/27/2014 12:00:00 AM,567.78,577.66,564.15,571.65,1762500,571.65
5/19/2014 12:00:00 AM,528.88,565.00,525.66,563.80,2157700,563.80
5/12/2014 12:00:00 AM,531.84,543.99,523.57,528.30,1796300,528.30
5/5/2014 12:00:00 AM,530.24,535.72,511.09,526.62,2170100,526.62
4/28/2014 12:00:00 AM,525.80,542.40,511.00,533.87,2422300,533.87
4/21/2014 12:00:00 AM,544.00,548.00,522.50,523.10,2229800,523.10
4/14/2014 12:00:00 AM,543.66,564.00,530.64,543.34,4183900,543.34
4/7/2014 12:00:00 AM,544.79,568.21,530.53,537.76,3388900,537.76
3/31/2014 12:00:00 AM,1130.40,1144.80,544.49,545.25,3922300,545.25
3/24/2014 12:00:00 AM,1184.19,1184.90,1102.10,1120.15,5637600,560.64
3/17/2014 12:00:00 AM,1179.25,1211.99,1178.11,1183.04,4189000,592.11
3/10/2014 12:00:00 AM,1215.69,1217.64,1172.53,1172.80,3808700,586.99
3/3/2014 12:00:00 AM,1206.75,1226.99,1192.14,1214.79,3033300,608.00
2/24/2014 12:00:00 AM,1205.36,1228.88,1205.10,1215.65,3464000,608.43
2/18/2014 12:00:00 AM,1201.41,1212.87,1197.50,1203.79,3883800,602.50
2/10/2014 12:00:00 AM,1171.80,1204.39,1169.02,1202.80,3893500,602.00
2/3/2014 12:00:00 AM,1179.20,1181.72,1128.02,1177.44,5737500,589.31
1/27/2014 12:00:00 AM,1126.10,1186.54,1082.27,1180.97,7832600,591.08
1/21/2014 12:00:00 AM,1160.93,1167.89,1123.00,1123.83,4691700,562.48
1/13/2014 12:00:00 AM,1126.47,1160.63,1117.17,1150.53,4490200,575.84
1/6/2014 12:00:00 AM,1113.01,1147.32,1106.44,1130.18,4312600,565.66
12/30/2013 12:00:00 AM,1120.34,1121.00,1104.93,1105.00,3037900,553.05
12/23/2013 12:00:00 AM,1107.84,1120.28,1105.12,1118.40,2678900,559.76
12/16/2013 12:00:00 AM,1064.00,1101.17,1059.04,1100.62,4105900,550.86
12/9/2013 12:00:00 AM,1070.99,1092.31,1057.89,1060.79,3519300,530.93
12/2/2013 12:00:00 AM,1063.51,1070.00,1049.02,1069.87,2718600,535.47
11/25/2013 12:00:00 AM,1037.16,1068.00,1035.02,1059.59,3104700,530.33
11/18/2013 12:00:00 AM,1035.75,1048.74,1020.36,1031.89,2477800,516.46
11/11/2013 12:00:00 AM,1009.51,1039.75,1005.00,1033.56,2538600,517.30
11/4/2013 12:00:00 AM,1031.50,1032.37,1007.64,1016.03,2478800,508.52
10/28/2013 12:00:00 AM,1015.20,1041.52,1012.99,1027.04,2801500,514.03
10/21/2013 12:00:00 AM,1011.46,1040.57,995.79,1015.20,5043900,508.11
10/14/2013 12:00:00 AM,866.66,1015.46,865.39,1011.41,8258100,506.21
10/7/2013 12:00:00 AM,867.45,873.99,842.98,871.99,3817200,436.43
9/30/2013 12:00:00 AM,869.08,894.10,868.31,872.35,3347600,436.61
9/23/2013 12:00:00 AM,896.15,901.59,871.31,876.39,2969700,438.63
9/16/2013 12:00:00 AM,896.20,905.99,881.00,903.11,4185300,452.01
9/9/2013 12:00:00 AM,883.73,897.90,882.42,889.07,2618800,444.98
9/3/2013 12:00:00 AM,854.36,883.78,853.95,879.58,3467300,440.23
8/26/2013 12:00:00 AM,870.00,874.90,845.56,846.90,2979600,423.87
8/19/2013 12:00:00 AM,857.71,878.00,857.45,870.21,2696500,435.54
8/12/2013 12:00:00 AM,886.90,888.50,856.54,856.91,3365900,428.88
8/5/2013 12:00:00 AM,905.39,909.71,885.29,890.41,2799800,445.65
7/29/2013 12:00:00 AM,884.90,907.00,880.87,906.57,3865400,453.74
7/22/2013 12:00:00 AM,902.00,913.00,882.00,885.35,4717700,443.12
7/15/2013 12:00:00 AM,924.30,928.00,875.61,896.60,6570700,448.75
7/8/2013 12:00:00 AM,899.21,923.00,897.08,923.00,4319500,461.96
7/1/2013 12:00:00 AM,886.45,895.41,877.27,893.49,3179300,447.19
6/24/2013 12:00:00 AM,871.88,884.69,863.25,880.37,4666200,440.63
6/17/2013 12:00:00 AM,879.23,910.84,873.07,880.93,5827400,440.91
6/10/2013 12:00:00 AM,882.10,891.00,865.50,875.04,4241700,437.96
6/3/2013 12:00:00 AM,873.00,880.00,847.22,879.73,4677100,440.31
5/28/2013 12:00:00 AM,883.50,892.14,864.29,871.22,4176200,436.05
5/20/2013 12:00:00 AM,905.00,920.60,871.01,873.32,4550600,437.10
5/13/2013 12:00:00 AM,878.89,919.98,873.38,909.18,5200800,455.05
5/6/2013 12:00:00 AM,848.26,880.54,848.26,880.23,4262400,440.56
4/29/2013 12:00:00 AM,803.25,846.80,803.00,845.72,4233000,423.28
4/22/2013 12:00:00 AM,800.60,818.00,775.00,801.42,4589200,401.11
4/15/2013 12:00:00 AM,785.95,803.44,761.26,799.87,6136900,400.34
4/8/2013 12:00:00 AM,778.75,793.10,768.40,790.05,4249000,395.42
4/1/2013 12:00:00 AM,795.01,814.83,776.40,783.05,4582900,391.92
3/25/2013 12:00:00 AM,812.41,819.23,793.30,794.19,3673700,397.49
3/18/2013 12:00:00 AM,805.00,819.25,801.47,810.31,3343000,405.56
3/11/2013 12:00:00 AM,831.69,839.70,813.34,814.30,3994000,407.56
3/4/2013 12:00:00 AM,805.30,844.00,805.00,831.52,5857000,416.18
2/25/2013 12:00:00 AM,802.30,808.41,784.40,806.19,4385000,403.50
2/19/2013 12:00:00 AM,795.99,808.97,791.22,799.71,5622400,400.26
2/11/2013 12:00:00 AM,778.40,793.26,773.75,792.89,3872100,396.84
2/4/2013 12:00:00 AM,767.69,786.67,758.27,785.37,5134600,393.08
1/28/2013 12:00:00 AM,751.76,776.60,746.54,775.60,4190700,388.19
1/22/2013 12:00:00 AM,704.66,758.48,695.52,753.67,7647300,377.21
1/14/2013 12:00:00 AM,737.00,742.20,701.33,704.51,5695500,352.61
1/7/2013 12:00:00 AM,735.45,745.00,724.43,739.99,3387500,370.37
12/31/2012 12:00:00 AM,700.00,741.47,696.00,737.97,4805300,369.35
12/24/2012 12:00:00 AM,714.51,715.18,698.61,700.01,2533700,350.36
12/17/2012 12:00:00 AM,705.50,729.10,704.02,715.63,5251400,358.17
12/10/2012 12:00:00 AM,685.39,716.47,683.79,701.96,4817200,351.33
12/3/2012 12:00:00 AM,702.24,705.89,682.33,684.21,3767400,342.45
11/26/2012 12:00:00 AM,666.44,699.22,658.00,698.37,5472600,349.53
11/19/2012 12:00:00 AM,655.70,678.00,655.53,667.97,3742000,334.32
11/12/2012 12:00:00 AM,663.75,669.80,636.00,647.18,3978200,323.91
