Date,Open,High,Low,Close,Volume,Adj Close
7/7/2014 12:00:00 AM,36.15,36.23,34.10,35.43,17561800,35.43
6/30/2014 12:00:00 AM,34.93,36.15,34.85,36.14,16063100,36.14
6/23/2014 12:00:00 AM,34.13,34.55,33.02,34.25,20076200,34.25
6/16/2014 12:00:00 AM,35.00,35.49,33.97,34.05,22495400,34.05
6/9/2014 12:00:00 AM,35.86,37.06,35.54,36.94,12456600,36.94
6/2/2014 12:00:00 AM,34.69,36.08,34.26,35.92,11008900,35.92
5/27/2014 12:00:00 AM,35.00,35.17,34.13,34.65,13237800,34.65
5/19/2014 12:00:00 AM,33.41,35.08,33.28,35.02,16212800,35.02
5/12/2014 12:00:00 AM,33.99,34.69,33.10,33.41,17952700,33.41
5/5/2014 12:00:00 AM,36.68,37.17,33.41,33.76,29811700,33.76
4/28/2014 12:00:00 AM,34.67,37.12,33.65,36.87,25005100,36.87
4/21/2014 12:00:00 AM,36.60,36.85,34.29,34.48,18059200,34.48
4/14/2014 12:00:00 AM,33.55,37.30,32.64,36.38,41863700,36.38
4/7/2014 12:00:00 AM,34.11,35.00,32.15,32.87,33394600,32.87
3/31/2014 12:00:00 AM,36.46,36.86,33.83,34.26,20657500,34.26
3/24/2014 12:00:00 AM,38.00,38.04,35.05,35.90,24493000,35.90
3/17/2014 12:00:00 AM,39.00,39.94,37.42,37.94,20303700,37.94
3/10/2014 12:00:00 AM,38.63,38.78,36.45,37.60,18249600,37.60
3/3/2014 12:00:00 AM,37.65,40.15,37.43,38.70,13694600,38.70
2/24/2014 12:00:00 AM,37.23,39.38,36.82,38.67,14744200,38.67
2/18/2014 12:00:00 AM,38.31,38.59,37.22,37.29,12864000,37.29
2/10/2014 12:00:00 AM,38.00,38.91,37.25,38.23,14428600,38.23
2/3/2014 12:00:00 AM,35.94,37.27,34.66,37.23,17545800,37.23
1/27/2014 12:00:00 AM,37.60,38.32,34.45,36.01,39200100,36.01
1/21/2014 12:00:00 AM,39.98,40.40,37.62,37.91,19031000,37.91
1/13/2014 12:00:00 AM,41.16,41.31,39.47,40.01,15121400,40.01
1/6/2014 12:00:00 AM,40.05,41.72,39.75,41.23,13364900,41.23
12/30/2013 12:00:00 AM,40.46,40.58,39.31,40.12,13556900,40.12
12/23/2013 12:00:00 AM,40.25,41.05,40.13,40.49,6516200,40.49
12/16/2013 12:00:00 AM,39.97,40.60,38.82,40.12,14694500,40.12
12/9/2013 12:00:00 AM,39.13,40.25,38.57,39.73,18147900,39.73
12/2/2013 12:00:00 AM,37.04,39.31,36.25,38.86,20337600,38.86
11/25/2013 12:00:00 AM,36.78,37.35,35.96,36.98,10625200,36.98
11/18/2013 12:00:00 AM,35.65,36.66,34.51,36.49,21227500,36.49
11/11/2013 12:00:00 AM,33.57,35.94,33.25,35.47,18492100,35.47
11/4/2013 12:00:00 AM,33.20,33.66,32.06,33.12,14404000,33.12
10/28/2013 12:00:00 AM,32.09,34.00,31.70,33.18,18494100,33.18
10/21/2013 12:00:00 AM,33.65,34.60,32.00,32.25,17726800,32.25
10/14/2013 12:00:00 AM,33.80,34.32,32.31,33.43,31012100,33.43
10/7/2013 12:00:00 AM,34.46,34.69,31.79,34.15,26466600,34.15
9/30/2013 12:00:00 AM,33.04,35.06,32.68,34.89,25419600,34.89
9/23/2013 12:00:00 AM,31.03,33.85,30.02,33.55,26744200,33.55
9/16/2013 12:00:00 AM,29.64,31.10,29.31,30.93,13907900,30.93
9/9/2013 12:00:00 AM,28.32,30.27,28.32,29.26,16091500,29.26
9/3/2013 12:00:00 AM,27.38,28.50,27.37,28.17,10817100,28.17
8/26/2013 12:00:00 AM,27.99,28.04,26.75,27.12,12832600,27.12
8/19/2013 12:00:00 AM,27.27,28.32,26.90,27.99,12059200,27.99
8/12/2013 12:00:00 AM,27.55,28.60,27.00,27.32,13793000,27.32
8/5/2013 12:00:00 AM,27.71,27.80,27.06,27.68,10045300,27.68
7/29/2013 12:00:00 AM,27.95,28.45,27.55,27.65,13474800,27.65
7/22/2013 12:00:00 AM,28.08,28.46,27.21,28.11,25325700,28.11
7/15/2013 12:00:00 AM,27.47,29.83,26.73,29.11,37524700,29.11
7/8/2013 12:00:00 AM,25.72,27.44,25.49,27.23,15610900,27.23
7/1/2013 12:00:00 AM,25.26,26.26,24.82,25.68,9491300,25.68
6/24/2013 12:00:00 AM,24.98,25.98,23.82,25.13,21947400,25.13
6/17/2013 12:00:00 AM,26.29,26.89,24.94,25.19,15017600,25.19
6/10/2013 12:00:00 AM,27.04,27.12,25.71,26.28,11006200,26.28
6/3/2013 12:00:00 AM,26.37,27.09,25.66,27.04,14890100,27.04
5/28/2013 12:00:00 AM,26.65,26.77,25.32,26.30,18666100,26.30
5/20/2013 12:00:00 AM,26.68,27.19,25.65,26.33,18861600,26.33
5/13/2013 12:00:00 AM,26.76,27.68,26.36,26.52,17134800,26.52
5/6/2013 12:00:00 AM,25.05,26.86,24.92,26.83,18051300,26.83
4/29/2013 12:00:00 AM,24.85,25.25,24.18,25.07,11172800,25.07
4/22/2013 12:00:00 AM,23.71,25.37,23.47,24.68,16851700,24.68
4/15/2013 12:00:00 AM,24.72,24.99,22.70,23.47,29567600,23.47
4/8/2013 12:00:00 AM,23.24,24.80,23.13,24.69,13551800,24.69
4/1/2013 12:00:00 AM,23.31,23.90,23.01,23.30,13753600,23.30
3/25/2013 12:00:00 AM,23.41,23.88,23.31,23.53,17896900,23.53
3/18/2013 12:00:00 AM,21.90,23.26,21.87,23.26,17758700,23.26
3/11/2013 12:00:00 AM,22.80,23.00,21.97,22.07,17762700,22.07
3/4/2013 12:00:00 AM,22.37,23.09,22.20,22.90,19846300,22.90
2/25/2013 12:00:00 AM,21.26,22.28,20.58,21.94,19144100,21.94
2/19/2013 12:00:00 AM,21.03,21.45,20.74,21.22,14518500,21.22
2/11/2013 12:00:00 AM,20.44,21.43,20.39,21.02,18807900,21.02
2/4/2013 12:00:00 AM,19.76,20.61,19.31,20.50,19962700,20.50
1/28/2013 12:00:00 AM,20.50,20.88,19.57,19.76,39263800,19.76
1/22/2013 12:00:00 AM,19.91,20.52,19.72,20.37,14097600,20.37
1/14/2013 12:00:00 AM,19.33,20.21,19.25,20.02,18248600,20.02
1/7/2013 12:00:00 AM,19.56,19.75,18.89,19.29,22928400,19.29
12/31/2012 12:00:00 AM,19.43,20.32,19.40,19.86,18275500,19.86
12/24/2012 12:00:00 AM,19.45,19.75,19.28,19.50,12868700,19.50
12/17/2012 12:00:00 AM,19.72,19.76,19.23,19.35,20301300,19.35
